window,dpd_static,eod_static,acc_static,auc_static,dpd_global,eod_global,acc_global,auc_global,dpd,eod,fpr_gap,fnr_gap,pp_diff,acc_gap,auc_gap,accuracy,auc,threshold_g0,threshold_g1,demo_shift,feature_drift,label_noise,intervention_triggered,worst_metric,likely_cause,dpd_after,eod_after,pp_diff_after,acc_gap_after,acc_after,model
0,0.06622222222222218,0.02779164951792043,0.8031111111111111,0.8837290661906143,0.06622222222222218,0.02779164951792043,0.8031111111111111,0.8837290661906143,0.06622222222222218,0.02779164951792043,0.009834017796030131,0.0179576317218903,0.06812623466048351,0.027555555555555555,0.01353658272177205,0.8031111111111111,0.8837290661906143,0.5,0.5,0.5,0.0,0.0,True,pp_diff,baseline,0.06888888888888889,0.002719777216872804,0.0750448606860612,0.021333333333333315,0.8062222222222222,GradientBoost
1,0.07511111111111107,0.019837064702406454,0.8168888888888889,0.890733374755462,0.07600000000000001,0.007975735753883217,0.8151111111111111,0.890733374755462,0.07600000000000001,0.007975735753883217,0.005292862341706284,0.0026828734121769338,0.09238883536905595,0.019555555555555548,0.004990634201147093,0.8151111111111111,0.890733374755462,0.5399999999999998,0.5399999999999998,0.5,0.0,0.0,True,pp_diff,baseline,0.08266666666666667,0.006934345023837163,0.09856302234351011,0.005777777777777771,0.81,GradientBoost
2,0.05777777777777776,0.008825556071425517,0.8131111111111111,0.8912129380053909,0.0653333333333333,0.014718652785606745,0.8106666666666666,0.8912129380053909,0.07644444444444443,0.02746298900197222,0.007346865395053942,0.02011612360691828,0.07432656032828111,0.0004444444444444695,9.209976561352917e-05,0.8126666666666666,0.8912129380053909,0.41999999999999993,0.4399999999999999,0.5,0.05,0.0,True,dpd,baseline,0.05466666666666664,0.0038791199626882628,0.059384469619622515,0.03022222222222226,0.7964444444444444,GradientBoost
3,0.06437710437710437,0.04166233797015306,0.8182222222222222,0.8914795993281992,0.0772615039281706,0.029697565939324336,0.7984444444444444,0.8914795993281992,0.0643322109988777,0.017567813865689785,0.017044635557467325,0.0005231783082224606,0.10892061236354245,0.029315375982042702,0.008467723683808548,0.7993333333333333,0.8914795993281992,0.6399999999999998,0.6199999999999999,0.55,0.1,0.0,True,pp_diff,baseline,0.08255892255892255,0.002368384038926641,0.09236092265943008,0.0207856341189675,0.8193333333333334,GradientBoost
4,0.06277777777777777,0.014323967103462676,0.7893333333333333,0.8540087631592501,0.06277777777777777,0.014323967103462676,0.7893333333333333,0.8540087631592501,0.08351851851851849,0.04458026284576866,0.00892393026255689,0.03565633258321177,0.0791171994389831,0.01185185185185178,0.012249363111883516,0.7893333333333333,0.8540087631592501,0.49999999999999983,0.5399999999999998,0.6,0.1,0.05,True,dpd,baseline,0.0637037037037037,0.011608777113877672,0.10001696971364749,0.001296296296296351,0.7846666666666666,GradientBoost
5,0.046056166056166026,0.029173409871667222,0.7824444444444445,0.8459277362555985,0.033504273504273485,0.04471191080630632,0.7795555555555556,0.8459277362555985,0.033504273504273485,0.04471191080630632,0.022120807935217285,0.022591102871089036,0.10001250034891751,0.0017582417582416854,0.010535516627598218,0.7795555555555556,0.8459277362555985,0.41999999999999993,0.41999999999999993,0.65,0.15,0.05,True,pp_diff,demographic_shift,0.054065934065934074,0.005447221781007733,0.08748403575989783,0.0017094017094017033,0.7722222222222223,GradientBoost
6,0.04222222222222222,0.027479697416880056,0.7544444444444445,0.8098874152650445,0.04338624338624336,0.030492812066913205,0.7431111111111111,0.8098874152650445,0.058941798941798906,0.060111769345780275,0.035836159272767065,0.02427561007301321,0.02812171977998912,0.008994708994709,0.002329530259762458,0.7477777777777778,0.8098874152650445,0.33999999999999997,0.35999999999999993,0.7,0.15,0.1,True,dpd,demographic_shift,0.026137566137566126,0.0064350824435022436,0.04717558139534883,0.004338624338624308,0.7482222222222222,GradientBoost
7,0.0438095238095238,0.014011357514816636,0.7426666666666667,0.8121308826524278,0.0348148148148148,0.012916882823279574,0.7513333333333333,0.8121308826524278,0.021164021164021163,0.039953241831818365,0.02283026648685399,0.017122975344964375,0.08606825619448344,0.002116402116402072,0.0017316022820407229,0.7488888888888889,0.8121308826524278,0.3999999999999999,0.3799999999999999,0.7,0.2,0.1,False,pp_diff,demographic_shift,0.021164021164021163,0.039953241831818365,0.08606825619448344,0.002116402116402072,0.7488888888888889,GradientBoost
8,0.08984126984126983,0.08215557294430292,0.7242222222222222,0.7601786705638793,0.08603174603174607,0.07075584041724375,0.7184444444444444,0.7601786705638793,0.06857142857142862,0.03514840793161267,0.0016419310815420918,0.03350647685007058,0.11903023432854887,0.010370370370370363,0.015837144485978394,0.7164444444444444,0.7601786705638793,0.3999999999999999,0.3799999999999999,0.7,0.2,0.15,True,pp_diff,demographic_shift,0.040211640211640226,0.0024417994605625964,0.09129246851983841,0.05650793650793651,0.6973333333333334,GradientBoost
9,0.05680097680097679,0.043224553455165404,0.7455555555555555,0.7916406907291913,0.06612942612942613,0.09561333896312775,0.7013333333333334,0.7916406907291913,0.010061050061050042,0.03490335984311198,0.024866360314379596,0.010036999528732382,0.10287188173698802,0.028620268620268563,0.013553708339827275,0.7151111111111111,0.7916406907291913,0.7599999999999998,0.6799999999999997,0.65,0.15,0.1,True,pp_diff,demographic_shift,0.03716727716727719,0.003988726062435333,0.07635810010111677,0.002881562881562827,0.7415555555555555,GradientBoost
